feed_id,source_system,region,channel,amount,status,event_time
F-1001,payments-core,NA,wire,12840.50,settled,2026-08-01T09:12:00Z
F-1002,payments-core,EU,ach,2210.00,pending,2026-08-01T09:18:00Z
F-1003,regulatory-in,NA,file,880.25,settled,2026-08-01T09:21:00Z
F-1004,market-data,APAC,api,15440.00,settled,2026-08-01T09:33:00Z
F-1005,payments-core,NA,wire,910.10,failed,2026-08-01T09:40:00Z
F-1006,regulatory-in,EU,file,3120.75,settled,2026-08-01T10:02:00Z
F-1007,crm-sync,NA,api,640.00,pending,2026-08-01T10:11:00Z
F-1008,market-data,EU,api,19880.40,settled,2026-08-01T10:16:00Z
F-1009,payments-core,APAC,ach,2755.00,settled,2026-08-01T10:28:00Z
F-1010,regulatory-in,NA,file,1490.60,failed,2026-08-01T10:44:00Z
F-1011,crm-sync,EU,api,510.00,settled,2026-08-01T11:03:00Z
F-1012,payments-core,NA,wire,17620.90,settled,2026-08-01T11:19:00Z
F-1013,market-data,NA,api,4320.00,pending,2026-08-01T11:27:00Z
F-1014,regulatory-in,APAC,file,760.15,settled,2026-08-01T11:41:00Z
F-1015,payments-core,EU,ach,6890.00,settled,2026-08-01T12:05:00Z
F-1016,crm-sync,NA,api,330.00,failed,2026-08-01T12:14:00Z
F-1017,market-data,EU,api,11210.80,settled,2026-08-01T12:22:00Z
F-1018,payments-core,NA,wire,2540.00,settled,2026-08-01T12:38:00Z
F-1019,regulatory-in,EU,file,2055.40,pending,2026-08-01T12:51:00Z
F-1020,crm-sync,APAC,api,980.00,settled,2026-08-01T13:07:00Z
